vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,previous_action_2,action
2.0,2.0,3.0,13.103820000000042,3.488400000000013,2.1783100000000104,-2.613434,0.992874999999998,-1.5068390000000011,1.0,3.0,4.0
2.0,2.0,3.0,12.243859999999984,6.468320000000006,2.768949999999961,0.19155500000000103,4.2822710000000015,2.023033,4.0,1.0,1.0
2.0,2.0,3.0,12.607050000000015,11.107629999999972,5.266259999999988,0.4154719999999994,4.880969,2.8732100000000003,1.0,4.0,3.0
2.0,2.0,3.0,10.965820000000065,14.054810000000032,6.321529999999996,-3.004187,1.6990189999999998,-0.06248900000000113,3.0,1.0,4.0
2.0,2.0,3.0,9.600000000000023,17.447199999999953,8.061799999999948,-0.29507199999999933,4.50051,2.9704050000000013,4.0,3.0,1.0
2.0,3.0,3.0,9.616399999999999,22.249540000000025,11.434640000000059,0.25308300000000017,5.0054099999999995,3.6871460000000003,1.0,4.0,3.0
2.0,3.0,3.0,7.986999999999966,19.743960000000015,13.265439999999899,-2.7968329999999995,1.568867000000001,0.671911999999999,3.0,1.0,4.0
3.0,2.0,3.0,6.98431000000005,16.478439999999978,15.706459999999993,0.23376299999999972,4.377682999999999,3.633329999999999,4.0,3.0,2.0
3.0,2.0,3.0,8.235199999999963,11.210100000000011,20.17764000000011,1.141242,5.006758,-0.2893840000000001,2.0,4.0,1.0
4.0,2.0,2.0,9.483640000000037,6.237859999999955,24.719940000000065,1.4510620000000003,5.010218000000002,4.526732000000003,1.0,2.0,1.0
4.0,2.0,2.0,11.101150000000075,1.2069000000000187,29.32000000000005,1.8057704999999995,5.053399000000001,4.680382,1.0,1.0,4.0
4.0,2.0,2.0,15.074569999999994,5.872499999999945,36.07347000000004,5.455734000000001,8.402906000000002,8.12893,4.0,1.0,3.0
4.0,2.0,2.0,18.261600000000044,12.622700000000009,42.591999999999985,2.2599470000000004,5.682723000000001,5.497722000000001,3.0,4.0,4.0
4.0,2.0,2.0,13.953899999999976,20.043900000000008,49.86626000000001,5.755628,8.557188000000002,8.452283,4.0,3.0,3.0
4.0,1.0,2.0,9.691530000000057,73.41989999999998,56.65019999999993,3.370837999999999,5.91165,5.7214100000000006,3.0,4.0,1.0
4.0,1.0,2.0,6.463030000000003,79.04962,62.12176999999997,3.1900189999999995,5.452131999999999,5.329215000000001,1.0,3.0,3.0
2.0,3.0,2.0,71.52325999999994,5.69324000000006,65.43075999999996,0.6875909999999994,-0.10482700000000023,2.014763999999998,3.0,1.0,1.0
2.0,2.0,0.0,67.13067000000001,71.92571999999996,0.0,1.5125399999999978,0.24773399999999768,0.0,1.0,3.0,3.0
2.0,2.0,0.0,66.60753999999997,70.16399999999999,0.0,-1.8298820000000013,-3.039595000000002,0.0,3.0,1.0,1.0
2.0,2.0,0.0,64.45614999999998,66.82645000000002,0.0,-2.345094999999997,-3.505388,0.0,1.0,3.0,1.0
2.0,2.0,0.0,62.080870000000004,63.31219999999996,0.0,-2.380680999999999,-3.4959650000000018,0.0,1.0,1.0,3.0
2.0,2.0,0.0,57.70816000000002,57.84386000000006,0.0,-5.653933000000002,-6.7276440000000015,0.0,3.0,1.0,4.0
2.0,2.0,0.0,53.74586000000011,52.826200000000085,0.0,-2.8504639999999988,-3.8852959999999968,0.0,4.0,3.0,3.0
2.0,2.0,0.0,49.194959999999924,47.2577,0.0,-5.644095,-6.642184,0.0,3.0,4.0,1.0
2.0,3.0,0.0,43.27970000000005,23.240499999999997,0.0,-6.0801750000000006,-4.839752000000001,0.0,1.0,3.0,1.0
